id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1147,standing on top of,standing top,['standing'],standing,Chair,chair,0.2151,1.13477,0.94933,1.06384,1.00344,1.14169,1.05861,0.7141877470991613,0.9218453280739812,0.7141877470991613,0.9129513323871332,2,2,2.0
1094,to sit in,sit,['sit'],sit,Chair,chair,-0.30458,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,0.7102924667596069,0.7102924667596068,0.7102924667596069,0.7102924667596068,1,1,1.0
1094,to play musical chairs,play musical chairs,"['play', 'musical', 'chair']",play musical chair,Chair,chair,-0.03962,0.76803,0.95903,0.82482,0.87061,0.78175,0.84085,0.7430180071848818,0.9075871613799845,0.9664554533885709,0.9705227589800598,4,3,3.5
1094,to dance with,dance,['dance'],dance,Chair,chair,0.01512,0.78895,1.00385,0.93046,0.8906499999999999,0.79912,0.88261,0.9304590121789482,0.9624307776769385,0.9304590121789482,0.9308020311508344,4,3,3.5
1094,to furnish a room with,furnish room,"['furnish', 'room']",furnish room,Chair,chair,0.16062,1.06438,1.01565,0.96361,0.977,1.01518,1.00716,0.963613185327246,0.9361043893354641,0.9675735331941137,0.9308020311508344,2,2,2.0
1162,sit on it,sit,['sit'],sit,Chair,chair,-0.30458,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,0.7102924667596069,0.7102924667596068,0.7102924667596069,0.7102924667596068,1,1,1.0
1162,use it as a stool,use stool,['stool'],stool,Chair,chair,0.12302,0.97295,0.99983,0.9584,0.91975,1.09754,0.98969,0.6693386399999401,0.9361043893354641,0.6693386399999401,0.9308020311508344,2,2,2.0
1162,put things on it for storage,put things storage,['storage'],storage,Chair,chair,0.07601,0.90473,0.9602,0.98251,1.0165,0.80734,0.93426,0.9171923628837894,0.9171923628837894,0.9171923628837894,0.9308020311508344,2,3,2.5
1102,sitting,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.5752900000000001,0.7072700000000001,0.43393,0.46723,0.53828,0.7072658062816448,0.7072658062816449,0.7072658062816448,0.7072658062816449,1,1,1.0
1102,throwing at people,throwing people,"['throwing', 'people']",throwing people,Chair,chair,0.15686,0.90978,1.06484,1.00656,1.14392,1.1551,1.05604,1.006563074874778,0.9361043893354641,0.9558944101655416,0.9308020311508344,4,3,3.5
